世界杯,#genre#
抖音4K,https://pull-flv-spe-l26.douyinliving.com/fantasy/stream-112005215388959414_spuhd.flv?_neptune_token=MIGoBAzmnGxUcbS5W_B6Ke0EgYWQ_gVT-iaAWfSVh8_JX8P43Vxc7v4u-
U3rC_r_68ONHeIDlgshF_CmJxzPHuSwiryDoIeoxsnrHB33TCfGSqBCnv2pPdSLTkqPQr8N4kXMlaFAnmmhjtoHzqi6-lh_cucguCRGBBguW_eq7RLivvf9WP0F6ij5nihcW5alJQGkOML24O7mBBD06InLFj6yzl164LW-WAal&expire=637d1640&sign=d075c6bbc94ed4db8e241f8400e24244&abr_pts=-1800
CCTV5,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5,http://159.75.85.63:828/shijiebei/sjb.php?id=3007a
CCTV5,http://111.29.9.37:6610/000000001000/1000000005000025222/index.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT2197120221119175523009763&channel-id=ystenlive&Contentid=1000000005000025222
CCTV5,http://111.29.9.42:6610/000000001000/1000000005000025222/index.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT2197120221119175523009763&channel-id=ystenlive&Contentid=1000000005000025222
CCTV16,http://99.sc1970.xyz:8888/iptv/GDH.php?id=4010
CCTV16,http://111.20.105.192:6610/000000001000/5000000008000023254/index.m3u8?channel-id=bestzb&Contentid=5000000008000023254&livemode=1&stbId=3
CCTV16,http://live.cooltv.top/tv/aishang.php?id=cctv164k
CCTV16,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8
CCTV16,http://ott.mobaibox.com/PLTV/3/224/3221228314/index.m3u8
CCTV16,http://ott.mobaibox.com/PLTV/3/224/3221228168/index.m3u8
CCTV16,http://ott.mobaibox.com/PLTV/3/224/3221228127/index.m3u8
咪咕体育4K,http://39.135.41.243/PLTV/88888888/224/3221226716/index.m3u8?hls
咪咕体育4K,http://117.136.156.3:80/000000001000/3000000010000005180/index.m3u8

杂货,#genre#
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
纯享4K,http://111.20.105.192:6610/000000001000/1000000004000011651/index.m3u8?channel-id=ystenlive&Contentid=1000000004000011651&livemode=1&stbId=3
欢笑剧场4K,http://111.20.105.192:6610/000000001000/5000000007000010001/index.m3u8?channel-id=bestzb&Contentid=5000000007000010001&livemode=1&stbId=3
4K-TEST,https://cdn.jsdelivr.net/gh/youshandefeiyang/IPTV/telegram/introduce.m3u8
4K影视,http://111.20.105.192:6610/000000001000/6000000003000004748/index.m3u8?channel-id=wasusyt&Contentid=6000000003000004748&livemode=1&stbId=3
爱上4K,http://111.20.40.170/PLTV/88888893/224/3221226352/index.m3u8
Fashion4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
Clarity4K,https://d3thiix3tzne5u.cloudfront.net/playlist2160p.m3u8
爱自然,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
MUZZIK ZZ4000 4K,http://muzzik-live.morescreens.com/mts-a6/playlist.m3u8
loupe 4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
Bloomberg TV+ 4K,https://bloomberg-bloombergtv-1-gb.samsung.wurl.com/manifest/playlist.m3u8
斗鱼4K,http://epg.112114.xyz/douyu/9249162
CCTV4K,http://ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8
CCTV4K,http://99.sc1970.xyz:8888/iptv/GDH.php?id=4005
五星体育,http://60.213.135.147/keonline.shanghai.liveplay.qq.com/live/program/live/ssty/4000000/mnf.m3u8
五星体育,http://14.205.73.133/keonline.shanghai.liveplay.qq.com/live/program/live/ssty/4000000/mnf.m3u8
五星体育,http://111.29.9.48:6610/000000001000/5000000010000017540/index.m3u8?channel-id=bestzb&Contentid=5000000010000017540&livemode=1&stbId=3
广东体育,http://120.84.96.73:808/hls/22/index.m3u8
广东体育,http://e59abdd420c65d43cc1550d493a88c71.v.smtcdns.net/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel34/2300.m3u8
广东体育,http://119.131.240.116:9090/hls/5/index.m3u8
广东体育,http://120.84.96.26:808/hls/22/index.m3u8
广东体育,http://120.84.96.33:808/hls/22/index.m3u8
南国都市,http://player.521fanli.cn/1691/gd/gztvm3u8.php?id=gzngds
南国都市,https://justsometime.gztv.com/sec/shenghuos.m3u8
BTV纪实科教-8KSDR,http://111.62.156.15/down.brtvcloud.com/brtv8kapptv/brtv8kapp8ktv.m3u8
江苏8K测试,http://ott.mobaibox.com/PLTV/3/224/3221228132/index.m3u8
SiTV欢笑剧场,http://ott.mobaibox.com/PLTV/3/224/3221227715/index.m3u8
纯享4K,http://ott.mobaibox.com/PLTV/3/224/3221228242/index.m3u8
纯享4K,http://ott.mobaibox.com/PLTV/3/224/3221227506/index.m3u8
纯享4K,http://ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8
4K修复,http://ott.mobaibox.com/PLTV/3/224/3221228141/index.m3u8
广东综艺,http://99.sc1970.xyz:8888/iptv/GDH.php?id=GDZYHD4K_38000

