FRANCE GENERAL,#genre#
TF1,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56988
TF1 PLUS 1,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/310589
M6 ,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/57072
FRANCE 2,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/57003
FRANCE 3,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56997
FRANCE 3 NOA,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/310626
FRANCE 4,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/57004
FRANCE 5,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/57005
ARTE,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/57002
6TER,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/57006
C8,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/60132
W9,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/60133
RTS UN,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/60129
RTS DEUX,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/60128
AB1,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/57094
AB3,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/60127
TV BREIZH,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56987
TF1 SERIES-FILMS,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/63504
TV5 MONDE,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56975
TV5 MONDE STYLE,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/311411
13EME RUE,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56994
PARIS PREMIERE,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56982
TFX,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/60130
LFM TV,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/60122
TVM3,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/60121
BET,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56985
C STAR,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56971
CANAL 31,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56981
COMEDIE ,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/57001
GAME ONE,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56995
GAME ONE 1,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56969
SQOOL TV,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/310662
IDF 1,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56980
ONE TV,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/60124
J ONE,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56991
MY CUISINE,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/57000
